			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
	RAGS|were.they|PUR|ple.his|HEART|had|BEEN|proud			2		1	2				
	rags|WERE|they|PUR|ple.his|HEART.HAD|been|PROUD			2		1	1	1			
	RAGS|were|THEY|pur|PLE|his|HEART|had|BEEN|proud		1			2		1			1
	RAGS|were|THEY.PUR|ple.his|HEART|had|BEEN|proud			2		1	1		1		
We that had loved him so, followed him, honoured him,	WE|that.had|LOVED|him.so|FOL|lowed.him|HON|oured.him	2		4						1	
	WE|that.had|LOVED|him.so|FOL|lowed.him|HON|oured|HIM			3			1	1			
	we|THAT|had|LOVED|him.so|FOL|lowed.him|HON|oured|HIM			2			2	1			
	WE|that|HAD|loved|HIM|so|FOL|lowed.him|HON|oured|HIM			1		1	1	2			
	we|THAT|had|LOVED|him.so|FOL|lowed.him|HON|oured.him			3			2			1	
	we|THAT|had|LOVED|him|SO|fol|LOWED|him|HON|oured|HIM		1			1		3			1
	WE|that|HAD.LOVED|him.so|FOL|lowed|HIM|hon|OURED|him		1	2		1	1	2	1		1
Lived in his mild and magnificent eye,	LIVED|in.his|MILD|and.mag|NIF|i.cent|EYE	2		3							
	lived|IN|his|MILD|and.mag|NIF|i.cent|EYE			2		1	2				
	LIVED|in|HIS|mild|AND|mag|NIF|i.cent|EYE			1		1	1	2			
	lived|IN|his|MILD|and.mag|NIF|i|CENT|eye			1		2	1	1			
	LIVED|in|HIS|mild|AND|mag|NIF|i|CENT|eye					2		3			
	lived|IN|his|MILD|and.mag|NIF.I|cent|EYE			2		1	1	1			1
	LIVED.IN|his|MILD|and.mag|NIF|i|CENT|eye			2		1	1	1	1		
	lived|IN|his|MILD|and.mag|NIF|i|CENT.EYE			2		1	1	1	1		
	LIVED|in|HIS|mild|AND|mag|NIF|i|CENT.EYE			1		1		3	1		
	lived|IN|his|MILD|and|MAG|nif|I|cent|EYE		1			2		2			2
	LIVED.IN|his|MILD|and|MAG|nif|I|cent|EYE		1	1		1		2	1		2
Learned his great language, caught his clear accents,	LEARNED|his.great|LAN|guage|CAUGHT|his.clear|AC|cents	2		2		2	2				
	LEA|rned|HIS|great|LAN|guage|CAUGHT|his|CLEAR.AC|cents			1		1		1	1		
	LEARNED|his|GREAT.LAN|guage|CAUGHT|his|CLEAR.AC|cents			2					2		
	LEA|rned|HIS|great|LAN|guage|CAUGHT|his.clear|AC|cents			1		2	1	1			
	LEA|rned.his|GREAT.LAN|guage|CAUGHT|his|CLEAR.AC|cents			3			1		1		
	LEARNED|his|GREAT.LAN|guage|CAUGHT|his.clear|AC|cents			2		1	1		1		
	LEARNED|his.great|LAN|guage|CAUGHT|his|CLEAR.AC|cents			2		1	1		1		
	LEA|rned.his|GREAT.LAN|guage|CAUGHT|his.clear|AC|cents			3		1	2				
	LEA|rned|HIS|great|LAN|guage|CAUGHT|his|CLEAR|ac|CENTS		1			2		2			1
	LEA|rned.his|GREAT.LAN|guage|CAUGHT|his|CLEAR|ac|CENTS		1	2		1	1	1			1
	LEA|rned.his|GREAT.LAN|guage|CAUGHT|his.clear|AC.CENTS			4		1	1	1			1
Made him our pattern to live and to die!	MADE|him.our|PAT|tern.to|LIVE|and.to|DIE	2		3							
	MADE|him.our|PAT|tern|TO|live|AND|to|DIE			1		1	1	2			
	made|HIM|our|PAT|tern|TO|live|AND|to|DIE					2		3			
	MADE|him.our|PAT|tern.to|LIVE|and|TO|die			2		1	2	1			
	made|HIM|our|PAT|tern.to|LIVE|and.to|DIE			2		1	2	1			
	made|HIM|our|PAT|tern.to|LIVE.AND|to|DIE			2		1	1	2			
	made|HIM|our|PAT|tern.to|LIVE|and|TO|die			1		2	1	2			
	MADE|him|OUR|pat|TERN|to|LIVE|and|TO.DIE		1	1		1		3	1		1
Shakespeare was of us, Milton was for us,	SHAKE|speare.was|OF|us|MIL|ton.was|FOR|us	2		2		1	2	2			
	SHAKE|speare|WAS|of.us|MIL|ton|WAS|for|US			1		1	1	3			
	SHAKE|speare.was|OF|us|MIL|ton|WAS|for|US			1		1	1	3			
	shake|SPEARE|was|OF|us|MIL|ton|WAS|for|US		1			1		3			1
	SHAKE.SPEARE|was|OF|us|MIL|ton|WAS|for|US			1				3	1		1
	SHAKE|speare|WAS|of.us|MIL|ton.was|FOR|us			2		1	2	2			
	shake|SPEARE|was|OF|us|MIL|ton.was|FOR|us		1	1		1	1	2			1
	SHAKE.SPEARE|was|OF|us|MIL|ton.was|FOR|us			2			1	2	1		1
Burns, Shelley, were with us, they watch from their graves!	burns|SHEL|ley.were|WITH|us.they|WATCH|from.their|GRAVES	1		3		1	1	1			
	BURNS.SHEL|ley.were|WITH|us.they|WATCH|from.their|GRAVES	1		4				1	1		
	burns|SHEL|ley|WERE|with|US|they|WATCH|from.their|GRAVES			1		1	1	2			
	burns|SHEL|ley|WERE|with|US|they|WATCH|from|THEIR|graves					2		3			
	BURNS.SHEL|ley|WERE|with|US|they|WATCH|from.their|GRAVES			2			1	2	1		
	BURNS.SHEL|ley|WERE|with|US|they|WATCH|from|THEIR|graves			1		1		3	1		
	burns|SHEL|ley|WERE|with|US|they|WATCH|from|THEIR.GRAVES			1		1		3	1		
	burns|SHEL|ley|WERE|with|US|they|WATCH.FROM|their|GRAVES			1		1		3	1		
	BURNS.SHEL|ley|WERE|with|US|they|WATCH|from|THEIR.GRAVES			2				3	2		
	BURNS.SHEL|ley|WERE|with|US|they|WATCH.FROM|their|GRAVES			2				3	2		
He alone breaks from the van and the freemen,	HE|al.one|BREAKS|from.the|VAN|and.the|FRE|emen	2	1	3		1	1				
	HE|al|ONE|breaks|FROM|the|VAN|and.the|FRE|emen			1		1	1	1			
	he.al|ONE.BREAKS|from.the|VAN|and.the|FRE|emen			4			1				
	HE|al|ONE|breaks|FROM|the|VAN|and|THE.FRE|emen			1		1		2	1		
	HE|al|ONE.BREAKS|from.the|VAN|and.the|FRE|emen			3			2		1		
	he.al|ONE.BREAKS|from.the|VAN|and.the|FRE.EMEN			5				1			1
	HE|al|ONE|breaks|FROM|the|VAN|and|THE|fre|EMEN		1			2		3			1
	he|AL|one|BREAKS|from|THE|van|AND|the|FRE|emen		1			2		3			1
	HE|al|ONE.BREAKS|from.the|VAN|and|THE.FRE|emen			3			1	1	2		
	HE|al.one|BREAKS|from.the|VAN|and.the|FRE.EMEN		1	4		1		1			1
	HE|al|ONE.BREAKS|from.the|VAN|and|THE|fre|EMEN		1	2		1	1	2	1		1
	HE|al.one|BREAKS|from.the|VAN|and|THE|fre|EMEN		2	2		2	2	2			1
He alone sinks to the rear and the slaves!	HE|al.one|SINKS|to.the|REAR|and.the|SLAVES	2	1	3		1					
	he.al|ONE.SINKS|to.the|REAR|and.the|SLAVES			4							
	HE|al|ONE|sinks|TO|the|REAR|and.the|SLAVES			1		1	1	1			
	HE|al|ONE|sinks|TO|the|REAR|and|THE|slaves					2		2			
	HE|al|ONE.SINKS|to.the|REAR|and.the|SLAVES			3			1		1		
	HE|al|ONE|sinks|TO|the|REAR|and|THE.SLAVES			1		1		2	1		
	HE|al|ONE|sinks|TO|the|REAR.AND|the|SLAVES			1		1		2	1		
	HE|al|ONE.SINKS|to|THE|rear|AND|the|SLAVES			1		1		2	1		
	HE|al|ONE.SINKS|to.the|REAR|and|THE|slaves			2		1	1	1	1		
	HE|al.one|SINKS|to.the|REAR|and|THE|slaves		1	2		2	2	1			
We shall march prospering, not thro' his presence;	we|SHALL|march|PROS|per|ING|not|THRO|his|PRES|ence					1		1			
	WE|shall|MARCH.PROS|per|ING|not|THRO|his|PRES|ence			1				1	1		
	we|SHALL|march|PROS|per.ing|NOT.THRO|his|PRES|ence			2		1	1				
	we|SHALL|march|PROS|pering.not|THRO|his|PRES|ence			1	1	1	1				
	we.shall|MARCH.PROS|per|ING|not|THRO|his|PRES|ence			2			1	1			
	we|SHALL|march|PROS|pering|NOT.THRO|his|PRES|ence			1	1	1			1		
	WE|shall|MARCH.PROS|per.ing|NOT.THRO|his|PRES|ence			3			1		1		
	WE|shall|MARCH.PROS|pering.not|THRO|his|PRES|ence			2	1		1		1		
	WE|shall|MARCH.PROS|pering|NOT.THRO|his|PRES|ence			2	1				2		
	we.shall|MARCH.PROS|per.ing|NOT.THRO|his|PRES|ence			4			2				
	we.shall|MARCH.PROS|pering.not|THRO|his|PRES|ence			3	1		2				
Songs may inspirit us, not from his lyre;	SONGS|may|IN|spir|IT|us|NOT|from.his|LYRE			1			1				
	SONGS|may|IN|spir|IT|us|NOT|from|HIS|lyre					1		1			
	SONGS|may|IN|spir|IT|us|NOT|from|HIS.LYRE			1				1	1		
	SONGS|may|IN|spir|IT|us|NOT.FROM|his|LYRE			1				1	1		
Deeds will be done, while he boasts his quiescence,	DEEDS|will.be|DONE|while.he|BOASTS|his.qui|ES|cence [*Bounded]	2		3			1				
	DEEDS|will|BE|done|WHILE|he|BOASTS|his.qui|ES|cence			1			1				
	deeds|WILL|be|DONE|while|HE|boasts|HIS|qui|ES|cence					2		2			
	DEEDS|will|BE.DONE|while|HE|boasts|HIS|qui|ES|cence			1		1		1	1		
	DEEDS|will|BE|done|WHILE|he|BOASTS|his|QUI.ES|cence			1				1	1		1
	DEEDS|will.be|DONE|while.he|BOASTS|his.qui|ES.CENCE			4				1			1
	DEEDS|will|BE|done|WHILE|he|BOASTS|his|QUI|es|CENCE		1			1		2			2
Still bidding crouch whom the rest bade aspire:	still|BID|ding|CROUCH|whom|THE|rest|BADE|as|PIRE					2		1			
	still|BID|ding|CROUCH|whom.the|REST.BADE|as|PIRE			2		1	1				
	STILL.BID|ding|CROUCH|whom|THE|rest|BADE|as|PIRE			1		1		1	1		
	STILL.BID|ding|CROUCH|whom.the|REST.BADE|as|PIRE			3			1		1		
	still|BID|ding|CROUCH.WHOM|the|REST.BADE|as|PIRE			2		1			2		
	STILL.BID|ding|CROUCH.WHOM|the|REST.BADE|as|PIRE			3					3		
Blot out his name, then, record one lost soul more,	BLOT|out.his|NAME|then.rec|ORD|one.lost|SOUL|more [*Bounded]	1		3		1	1				
	BLOT|out.his|NAME|then.rec|ORD|one|LOST|soul|MORE [*Bounded]	1		2		1	2				
	BLOT|out|HIS|name|THEN|rec|ORD|one|LOST|soul|MORE					2		1			
	BLOT|out.his|NAME.THEN|rec|ORD|one|LOST|soul|MORE			2		1	1				
	BLOT|out.his|NAME|then|REC|ord|ONE|lost|SOUL|more			1		1	1	1			
	BLOT|out|HIS|name|THEN|rec|ORD|one|LOST.SOUL|more			1		1		1	1		
	BLOT|out.his|NAME|then|REC|ord.one|LOST.SOUL|more			3			2				
	BLOT|out.his|NAME|then.rec|ORD|one.lost|SOUL.MORE			4		1					
	BLOT|out.his|NAME.THEN|rec|ORD|one|LOST.SOUL|more			3			1		1		
One task more declined, one more footpath untrod,	one|TASK|more.de|CLINED|one.more|FOOT|path.un|TROD	2		3		1	1				
	one|TASK|more.de|CLINED|one|MORE|foot|PATH|un|TROD		1	1		1	1				1
	ONE|task|MORE|de|CLINED|one|MORE|foot|PATH|un|TROD		1			2		1			1
	one|TASK.MORE|de|CLINED|one|MORE|foot|PATH|un|TROD		1	1		1			1		1
	one|TASK|more.de|CLINED|one.more|FOOT.PATH|un|TROD			3			2				1
	ONE|task|MORE|de|CLINED|one.more|FOOT.PATH|un|TROD			2		1	1	1			1
	one|TASK.MORE|de|CLINED|one.more|FOOT.PATH|un|TROD			3			1		1		1
	ONE|task|MORE|de|CLINED|one.more|FOOT|path.un|TROD			2		2	2	1			
	ONE|task|MORE|de|CLINED|one|MORE.FOOT|path.un|TROD			2		2	1	1	1		
	ONE|task|MORE|de|CLINED|one|MORE.FOOT|path|UN.TROD			2		2		2	2		1
	one|TASK.MORE|de|CLINED|one|MORE.FOOT|path|UN.TROD			3		1		1	3		1
One more devils'-triumph and sorrow for angels,	one.more|DEV|ils|TRI|umph.and|SOR|row.for|AN|gels	1		3			2				
	ONE|more|DEV|ils|TRI|umph.and|SOR|row.for|AN|gels			2			2	1			
	ONE|more|DEV|ils|TRI|umph|AND|sor|ROW|for|AN|gels		1			1		3			1
	ONE|more|DEV|ils|TRI|umph.and|SOR|row|FOR.AN|gels			2			1	2	1		
	one.more|DEV|ils|TRI|umph.and|SOR|row.for|AN.GELS			4			1	1			1
	one.more|DEV|ils|TRI|umph|AND|sor|ROW|for|AN|gels		1	1		1	1	2			1
	one|MORE.DEV|ils|TRI|umph|AND|sor|ROW|for|AN|gels		1	1		1		2	1		1
	one|MORE.DEV|ils|TRI|umph.and|SOR|row|FOR.AN|gels			3			1	1	2		
One wrong more to man, one more insult to God!	one|WRONG|more.to|MAN|one.more|IN|sult.to|GOD [*Bounded]	2		3		1	1				
	one|WRONG|more.to|MAN|one|MORE|in|SULT|to|GOD			1			1				
	ONE|wrong|MORE|to|MAN|one|MORE|in|SULT|to|GOD					1		1			
	one|WRONG.MORE|to|MAN|one|MORE|in|SULT|to|GOD			1					1		
Life's night begins: let him never come back to us!	life's|NIGHT|be|GINS.LET|him|NEV|er|COME|back|TO|us			1		2		1	1		
	life's|NIGHT|be|GINS|let.him|NEV|er|COME|back|TO|us			1		3	1	1			
	LIFE'S.NIGHT|be|GINS.LET|him|NEV|er|COME|back|TO|us			2		1		1	2		
	life's|NIGHT|be|GINS.LET|him|NEV|er|COME.BACK|to|US			2		1		1	2		
	LIFE'S|night|BE|gins|LET|him|NEV|er|COME|back|TO|us		1			3		2			1
	LIFE'S.NIGHT|be|GINS|let.him|NEV|er|COME|back|TO|us			2		2	1	1	1		
	life's|NIGHT|be|GINS|let.him|NEV|er|COME.BACK|to|US			2		2	1	1	1		
	LIFE'S.NIGHT|be|GINS.LET|him|NEV|er|COME.BACK|to|US			3				1	3		
	LIFE'S|night|BE|gins|LET|him|NEV|er|COME.BACK|to|US		1	1		2		2	1		1
	LIFE'S.NIGHT|be|GINS|let.him|NEV|er|COME.BACK|to|US			3		1	1	1	2		
	life's|NIGHT|be|GINS.LET|him|NEV|er|COME.BACK|to.us			3		1	1		2	1	
	life's|NIGHT|be|GINS|let.him|NEV|er.come|BACK|to.us			3		3	2			1	
	LIFE'S.NIGHT|be|GINS|let.him|NEV|er.come|BACK|to.us			4		2	1		1	1	
	life's|NIGHT|be|GINS|let.him|NEV|er|COME.BACK|to.us			3		2	2		1	1	
	life's|NIGHT|be|GINS.LET|him|NEV|er.come|BACK|to.us			3		2	2		1	1	
	LIFE'S.NIGHT|be|GINS.LET|him|NEV|er|COME.BACK|to.us			4			1		3	1	
	LIFE'S|night|BE|gins|LET|him|NEV|er|COME.BACK|to.us		1	2		2	1	1	1	1	1
	LIFE'S.NIGHT|be|GINS|let.him|NEV|er|COME.BACK|to.us			4		1	2		2	1	
	LIFE'S.NIGHT|be|GINS.LET|him|NEV|er.come|BACK|to.us			4		1	2		2	1	
	LIFE'S|night|BE|gins|LET|him|NEV|er.come|BACK|to.us		1	2		3	2	1		1	1
There would be doubt, hesitation and pain,	THERE|would|BE|doubt|HES|i|TA|tion.and|PAIN			1		1	1	1			
	THERE|would|BE|doubt|HES|i|TA|tion|AND|pain					2		2			
	there|WOULD|be|DOUBT.HES|i|TA|tion.and|PAIN			2			1		1		
	there|WOULD|be|DOUBT.HES|i|TA|tion|AND|pain			1		1		1	1		
	there|WOULD|be.doubt|HES|i|TA|tion.and|PAIN			2		1	2				
	there.would|BE|doubt|HES|i|TA|tion.and|PAIN			2		1	2				
	there.would|BE|doubt|HES|i|TA|tion|AND|pain			1		2	1	1			
	there|WOULD|be|DOUBT.HES|i|TA|tion|AND.PAIN			2				1	2		
Forced praise on our part the glimmer of twilight,	FORCED|praise|ON|our|PART|the|GLIM|mer.of|TWI|light			1		2	1	1			
	forced|PRAISE|on.our|PART|the|GLIM|mer.of|TWI|light			2		2	2				
	FORCED|praise|ON|our|PART|the|GLIM|mer.of|TWI.LIGHT			2		1	1	1			1
	FORCED|praise|ON|our|PART|the|GLIM|mer|OF|twi|LIGHT		1			2		2			1
	FORCED|praise|ON|our|PART|the|GLIM|mer|OF.TWI|light			1		2		2	1		
	forced|PRAISE|on.our|PART|the|GLIM|mer.of|TWI.LIGHT			3		1	2				1
	forced|PRAISE|on.our|PART|the|GLIM|mer|OF|twi|LIGHT		1	1		2	1	1			1
	FORCED.PRAISE|on.our|PART|the|GLIM|mer.of|TWI|light			3		1	2		1		
	FORCED.PRAISE|on.our|PART|the|GLIM|mer.of|TWI.LIGHT			4			1		1		1
	forced|PRAISE|on.our|PART|the|GLIM|mer|OF.TWI|light			2		2	1	1	1		
	FORCED.PRAISE|on.our|PART|the|GLIM|mer|OF|twi|LIGHT		1	2		1	1	1	1		1
	FORCED.PRAISE|on.our|PART|the|GLIM|mer|OF.TWI|light			3		1	1	1	2		
	FORCED.PRAISE|on.our|PART|the.glim|MER|of.twi|LIGHT		2	4		2		1	1		2
Never glad confident morning again!	NEV|er.glad|CON|fi.dent|MORN|ing.ag|AIN	2		3		1					
	NEV|er|GLAD.CON|fi.dent|MORN|ing.ag|AIN			3			1		1		
	NEV|er|GLAD|con|FI|dent|MORN|ing.ag|AIN		1	1		1	1	1			1
	NEV|er|GLAD.CON|fi|DENT|morn|ING|ag|AIN		1	1		1		2	1		1
	NEV|er|GLAD|con|FI|dent|MORN|ing|AG|ain		2			2		2			2
	NEV|er|GLAD.CON|fi.dent|MORN|ing|AG|ain		1	2		1	1	1	1		1
	NEV|er.glad|CON|fi.dent|MORN|ing|AG|ain		1	2		2	2	1			1
Best fight on well, for we taught him strike gallantly,	best|FIGHT|on|WELL|for|WE|taught|HIM|strike|GAL|lant|LY					3		2			
	best|FIGHT|on|WELL|for|WE|taught.him|STRIKE.GAL|lant|LY			2		2	1	1			
	best|FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE.GAL|lant|LY			2		1	1	1	1		
	BEST.FIGHT|on|WELL|for|WE|taught|HIM|strike|GAL|lant|LY			1		2		2	1		
	best|FIGHT|on|WELL|for|WE.TAUGHT|him|STRIKE.GAL|lant|LY			2		1		1	2		
	best|FIGHT|on|WELL|for|WE|taught|HIM|strike|GAL|lant.ly			1		3	1	1		1	
	best|FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE|gal|LANT|ly		1	1		2	1	1			1
	best|FIGHT|on|WELL|for|WE.TAUGHT|him|STRIKE|gal|LANT|ly		1	1		2		1	1		1
	BEST.FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE.GAL|lant|LY			3			1	1	2		
	BEST.FIGHT|on|WELL|for|WE.TAUGHT|him|STRIKE.GAL|lant|LY			3				1	3		
	best|FIGHT|on|WELL|for|WE|taught.him|STRIKE.GAL|lant.ly			3		2	2			1	
	best|FIGHT|on|WELL|for.we|TAUGHT|him.strike|GAL|lant.ly			3		2	2			1	
	BEST.FIGHT|on|WELL|for.we|TAUGHT|him.strike|GAL|lant.ly			4		1	1		1	1	
	best|FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE.GAL|lant.ly			3		1	2		1	1	
	BEST.FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE|gal|LANT|ly		1	2		1	1	1	1		1
	best|FIGHT|on|WELL|for|WE.TAUGHT|him|STRIKE.GAL|lant.ly			3		1	1		2	1	
	BEST.FIGHT|on|WELL|for|WE.TAUGHT|him|STRIKE|gal|LANT|ly		1	2		1		1	2		1
	BEST.FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE.GAL|lant.ly			4			2		2	1	
	BEST.FIGHT|on|WELL|for|WE.TAUGHT|him|STRIKE.GAL|lant.ly			4			1		3	1	
Menace our heart ere we master his own;	MEN|ace|OUR|heart|ERE|we|MAS|ter|HIS|own					1		2			
	MEN|ace.our|HEART.ERE|we|MAS|ter.his|OWN			3			1				
	MEN|ace.our|HEART.ERE|we|MAS|ter|HIS|own			2			1	1			
	MEN|ace|OUR|heart|ERE|we|MAS|ter.his|OWN			1		1	1	1			
	MEN|ace.our|HEART.ERE|we.mas|TER|his.own		1	4		1		1		1	1
Then let him receive the new knowledge and wait us,	then|LET|him.re|CEIVE|the.new|KNOWL|edge.and|WAIT|us	2		3		1	2				
	then|LET|him.re|CEIVE|the|NEW|knowl|EDGE|and|WAIT|us		1	1		1	1	1			1
	THEN|let|HIM|re|CEIVE|the|NEW|knowl|EDGE|and|WAIT|us		1			2		2			1
	then|LET|him.re|CEIVE|the|NEW.KNOWL|edge.and|WAIT|us			3			2		1		
	THEN|let|HIM|re|CEIVE|the|NEW.KNOWL|edge.and|WAIT|us			2		1	1	1	1		
	then|LET|him.re|CEIVE|the.new|KNOWL|edge.and|WAIT.US			4		1	1	1			
	THEN|let|HIM|re|CEIVE|the.new|KNOWL|edge.and|WAIT|us			2		2	2	1			
	THEN.LET|him.re|CEIVE|the.new|KNOWL|edge.and|WAIT|us			4		1	1		1		
	THEN|let|HIM|re|CEIVE|the|NEW.KNOWL|edge|AND|wait|US			1		2		3	1		
	then|LET|him.re|CEIVE|the|NEW.KNOWL|edge|AND.WAIT|us			3			1	1	2		
	THEN|let|HIM|re|CEIVE|the|NEW.KNOWL|edge|AND.WAIT|us			2		1		2	2		
	THEN|let|HIM|re|CEIVE|the.new|KNOWL|edge|AND|wait|US			1		3	1	3			
	THEN.LET|him.re|CEIVE|the.new|KNOWL|edge.and|WAIT.US			5		1		1	1		
	THEN|let|HIM|re|CEIVE|the.new|KNOWL|edge|AND.WAIT|us			2		2	1	2	1		
	then|LET|him.re|CEIVE|the|NEW.KNOWL|edge|AND|wait|US			2		2	1	2	1		
	then|LET|him.re|CEIVE|the.new|KNOWL|edge|AND|wait|US			2		3	2	2			
Pardoned in heaven, the first by the throne!	PAR|doned.in|HEAV|en.the|FIRST|by.the|THRONE	2		3							
	PAR|doned.in|HEAVEN|the|FIRST|by.the|THRONE			2	1		1				
	PAR|doned.in|HEAVEN|the|FIRST|by|THE|throne			1	1	1	1	1			
	PAR|doned.in|HEAV|en|THE|first|BY|the|THRONE			1		1	1	2			
	PAR|doned|IN|heaven|THE|first|BY|the|THRONE				1	2		2			
	PAR|doned|IN.HEAVEN|the|FIRST|by|THE|throne			1	1	1		1	1		
	PAR|doned|IN.HEAV|en|THE|first|BY|the|THRONE			1		1		2	1		
	PAR|doned.in|HEAV|en.the|FIRST|by|THE|throne			2		1	2	1			
	PAR|doned|IN|heav|EN|the|FIRST|by.the|THRONE		1	1		1	1	1			1
	PAR|doned|IN|heav|EN|the|FIRST|by|THE|throne		1			2		2			1
	PAR|doned|IN.HEAV|en.the|FIRST|by|THE|throne			2		1	1	1	1		
	PAR|doned|IN.HEAVEN|the|FIRST|by|THE.THRONE			2	1			1	2		
	PAR|doned|IN.HEAVEN|the|FIRST.BY|the|THRONE			2	1			1	2		
This is the forest primeval. The murmuring pines and the hemlocks,	this|IS|the|FOR|est.pri|MEV|al.the|MUR|mur.ing|PINES|and.the|HEM|locks			4			3	1			
	this|IS|the|FOR|est.pri|MEV|al.the|MUR|muring|PINES|and.the|HEM|locks			3	1		3	1			
	this|IS|the|FOR|est.pri|MEV|al.the|MUR|mur|ING|pines|AND|the|HEM|locks			2		1	2	3			
	this|IS|the|FOR|est.pri|MEV|al.the|MUR|muring|PINES|and|THE.HEM|locks			3	1		2	2	1		
	this|IS|the|FOR|est.pri|MEV|al.the|MUR|mur.ing|PINES|and.the|HEM.LOCKS			5			2	2			1
	this|IS|the|FOR|est|PRI|mev|AL|the|MUR|muring|PINES|and.the|HEM|locks		1	1	1	1	1	3			2
	this|IS|the|FOR|est|PRI|mev|AL|the|MUR|mur|ING|pines|AND|the|HEM|locks		1			2		5			2
	this|IS|the|FOR|est.pri|MEV|al|THE|mur|MURING|pines|AND|the|HEM|locks		1	1	1	2	1	4			1
	THIS|is|THE|for|EST|pri|MEV|al.the|MUR|mur|ING|pines|AND|the|HEM|locks		1	1		2	1	5			1
	this|IS|the|FOR|est.pri|MEV|al|THE|mur|MUR|ing|PINES|and|THE.HEM|locks		1	2		1	1	4	1		1
	this|IS|the|FOR|est|PRI|mev|AL|the|MUR|muring|PINES|and|THE.HEM|locks		1	1	1	1		4	1		2
	THIS|is|THE|for|EST|pri|MEV|al.the|MUR|mur.ing|PINES|and.the|HEM|locks		1	3		1	3	3			1
	THIS|is|THE|for|EST|pri|MEV|al.the|MUR|mur.ing|PINES|and|THE.HEM|locks		1	3		1	2	4	1		1
Bearded with moss, and in garments green, indistinct in the twilight,	BEARD|ed.with|MOSS|and.in|GAR|ments|GREEN|in.dis|TINCT|in.the|TWI|light	2		4		1	2				
	BEARD|ed.with|MOSS|and.in|GAR|ments|GREEN|in.dis|TINCT|in.the|TWI.LIGHT			5			1				1
	BEARD|ed|WITH|moss|AND|in|GAR|ments|GREEN|in.dis|TINCT.IN|the|TWI|light			2		2	1	2			
	BEARD|ed|WITH|moss|AND|in|GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI|light		1			3		3			1
	BEARD|ed|WITH|moss|AND|in|GAR|ments|GREEN|in.dis|TINCT|in.the|TWI.LIGHT			3		1	2	2			1
	BEARD|ed.with|MOSS|and.in|GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI|light		1	2		2	2	1			1
	BEARD|ed|WITH|moss|AND|in|GAR|ments|GREEN|in.dis|TINCT|in|THE|twi|LIGHT		1	1		2	1	3			1
	BEARD|ed|WITH|moss|AND|in|GAR|ments|GREEN|in.dis|TINCT.IN|the|TWI.LIGHT			3		1	1	2	1		1
	BEARD|ed.with|MOSS|and|IN.GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI|light		1	2		2	1	1	1		1
	BEARD|ed.with|MOSS|and.in|GAR|ments|GREEN|in.dis|TINCT|in|THE|twi|LIGHT		1	3		1	3	1			1
	beard|ED|with|MOSS|and.in|GAR|ments|GREEN|in.dis|TINCT.IN|the|TWI|light		1	3		2	2	1			1
	BEARD|ed.with|MOSS|and|IN.GAR|ments|GREEN|in.dis|TINCT|in|THE|twi|LIGHT		1	3		1	2	1	1		1
	beard|ED|with|MOSS|and|IN.GAR|ments|GREEN|in.dis|TINCT.IN|the|TWI|light		1	3		2	1	1	1		1
	BEARD|ed|WITH|moss|AND|in|GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI.LIGHT		1	1		2		3	1		2
	beard|ED|with|MOSS|and.in|GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI|light		2	1		3	1	2			2
	beard|ED|with|MOSS|and|IN.GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI|light		2	1		3		2	1		2
	BEARD|ed.with|MOSS|and|IN.GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI.LIGHT		1	3		1	1	1	2		2
	beard|ED|with|MOSS|and.in|GAR|ments|GREEN|in.dis|TINCT|in.the|TWI.LIGHT		1	4		1	3	1			2
	beard|ED|with|MOSS|and|IN.GAR|ments|GREEN|in.dis|TINCT.IN|the|TWI.LIGHT		1	4		1	1	1	2		2
	beard|ED|with|MOSS|and|IN.GAR|ments|GREEN|in|DIS|tinct|IN|the|TWI.LIGHT		2	2		2		2	2		3
Stand like Druids of eld, with voices sad and prophetic,	STAND|like|DRU|ids.of|ELD|with|VOIC|es|SAD|and.pr|OP|hetic	2		2			2				
	STAND|like|DRU|ids.of|ELD|with|VOIC|es|SAD|and|PR.OP|hetic			2			1	1	1		1
	stand|LIKE|dru|IDS|of|ELD|with|VOIC|es|SAD|and.pr|OP|hetic		1	1		2	1	1			1
	STAND|like|DRU|ids.of|ELD|with|VOIC|es|SAD|and|PR|op|HETIC		1	1		1	1	2			2
	STAND|like|DRU|ids|OF|eld|WITH|voic|ES|sad|AND|pr|OP|hetic		1			3		4			1
