			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
Deeds will be done, while he boasts his quiescence,	DEEDS|will|BE|done|WHILE|he|BOASTS|his|QUIESCENCE						
	DEEDS|will.be|DONE|while.he|BOASTS|his|QUIESCENCE						
Still bidding crouch whom the rest bade aspire:	still*|BID|ding|CROUCH|whom.the|REST.BADE*|as|PIRE				1		1
	STILL.BID*|ding|CROUCH|whom.the|REST.BADE*|as|PIRE				2		
	still*|BID|ding|CROUCH|whom|THE*|rest*|BADE|as|PIRE					1	2
	STILL.BID*|ding|CROUCH|whom|THE*|rest*|BADE|as|PIRE				1	1	1
Blot out his name, then, record one lost soul more,	BLOT|out.his|NAME|then.rec*|ORD|one|LOST|soul*|MORE	1			1		1
	BLOT|out.his|NAME|then|REC|ord|ONE*|lost*|SOUL|more					1	1
	BLOT|out.his|NAME|then|REC.ORD*|one|LOST|soul*|MORE					1	1
	BLOT|out.his|NAME.THEN*|rec|ORD|one|LOST|soul*|MORE				1		1
	BLOT|out.his|NAME|then|REC|ord.one*|LOST|soul*|MORE				1		1
	BLOT|out.his|NAME|then|REC.ORD*|one|LOST.SOUL*|more				1	1	
	BLOT|out.his|NAME.THEN*|rec|ORD|one|LOST.SOUL*|more				2		
	BLOT|out.his|NAME|then.rec*|ORD|one|LOST.SOUL*|more				2		
	BLOT|out.his|NAME|then|REC|ord.one*|LOST.SOUL*|more				2		
One task more declined, one more footpath untrod,	one|TASK.MORE*|de|CLINED|one.more|FOOT|path*|UNTROD				1		1
	one|TASK|more.de*|CLINED|one.more|FOOT|path*|UNTROD				1		1
	ONE*|task*|MORE|de|CLINED|one.more|FOOT|path*|UNTROD					1	2
	one|TASK|more|DE.CLINED*|one.more|FOOT|path*|UNTROD			1		1	1
One more devils'-triumph and sorrow for angels,	one.more|DEV|ils|TRI|umph.and*|SOR|row.for*|AN|gels	1			2		
	one.more|DEV|ils|TRI|umph.and*|SOR.ROW*|for|AN|gels				1	1	
	one.more|DEV|ils|TRI.UMPH*|and|SOR.ROW*|for|AN|gels			1		2	
	one.more|DEV|ils|TRI.UMPH*|and|SOR|row.for*|AN|gels			1	1	1	
	one.more|DEV|ils|TRI|umph|AND*|sor*|ROW*|for|AN|gels		1			2	1
One wrong more to man, one more insult to God!	one|WRONG|more.to|MAN|one.more|IN|sult.to*|GOD [*Bounded]	2			1		1
	one|WRONG|more.to|MAN|one|MORE|in|SULT|to|GOD						
Life's night begins: let him never come back to us!	life's*|NIGHT|be|GINS.LET*|him|NEV|er|COME.BACK*|to.us				2		1
	LIFE'S.NIGHT*|be|GINS.LET*|him|NEV|er|COME.BACK*|to.us				3		
	life's*|NIGHT|be|GINS.LET*|him|NEV|er|COME|back*|TO*|us				1	1	2
	life's*|NIGHT|be|GINS.LET*|him|NEV.ER*|come*|BACK|to.us				1	1	2
	LIFE'S.NIGHT*|be|GINS.LET*|him|NEV|er|COME|back*|TO*|us				2	1	1
	LIFE'S.NIGHT*|be|GINS.LET*|him|NEV.ER*|come*|BACK|to.us				2	1	1
	LIFE'S|night*|BE*|gins*|LET|him|NEV|er|COME.BACK*|to.us		1		1	1	2
	life's*|NIGHT|be.gins*|LET|him|NEV|er|COME.BACK*|to.us		1	1	1		2
	LIFE'S.NIGHT*|be.gins*|LET|him|NEV|er|COME.BACK*|to.us		1	1	2		1
	LIFE'S|night*|BE*|gins*|LET|him|NEV|er|COME|back*|TO*|us		1			2	3
	LIFE'S|night*|BE*|gins*|LET|him|NEV.ER*|come*|BACK|to.us		1			2	3
	life's*|NIGHT|be.gins*|LET|him|NEV|er|COME|back*|TO*|us		1	1		1	3
	life's*|NIGHT|be.gins*|LET|him|NEV.ER*|come*|BACK|to.us		1	1		1	3
	LIFE'S.NIGHT*|be.gins*|LET|him|NEV|er|COME|back*|TO*|us		1	1	1	1	2
	LIFE'S.NIGHT*|be.gins*|LET|him|NEV.ER*|come*|BACK|to.us		1	1	1	1	2
There would be doubt, hesitation and pain,	there.would|BE|doubt*|HES|i|TA|tion.and*|PAIN				1		1
	there|WOULD|be|DOUBT.HES*|i|TA|tion.and*|PAIN				2		
	there.would|BE|doubt*|HES|i|TA|tion|AND*|pain*					1	2
	there.would|BE|doubt*|HES|i|TA.TION*|and|PAIN			1		1	1
	there|WOULD|be|DOUBT.HES*|i|TA.TION*|and|PAIN			1	1	1	
Forced praise on our part the glimmer of twilight,	forced*|PRAISE|on.our|PART|the|GLIM.MER*|of|TWI|light*					1	2
	forced*|PRAISE|on.our|PART|the|GLIM|mer.of*|TWI|light*				1		2
	FORCED.PRAISE*|on.our|PART|the|GLIM.MER*|of|TWI|light*				1	1	1
	forced*|PRAISE|on.our|PART|the|GLIM.MER*|of|TWI.LIGHT*			1		1	1
	FORCED.PRAISE*|on.our|PART|the|GLIM|mer.of*|TWI|light*				2		1
	forced*|PRAISE|on.our|PART|the|GLIM|mer.of*|TWI.LIGHT*			1	1		1
	FORCED.PRAISE*|on.our|PART|the|GLIM.MER*|of|TWI.LIGHT*			1	1	1	
	FORCED.PRAISE*|on.our|PART|the|GLIM|mer.of*|TWI.LIGHT*			1	2		
Never glad confident morning again!	NEV|er|GLAD.CON*|fi.dent*|MORN|ing.ag*|AIN			1	2		
	NEV.ER*|glad*|CON|fi.dent*|MORN|ing.ag*|AIN			1	1	1	1
	NEV|er|GLAD.CON*|fi|DENT.MORN*|ing.ag*|AIN				3	1	
	NEV|er|GLAD.CON*|fi.dent*|MORN|ing|AG.AIN*			2	1	1	
	NEV|er|GLAD.CON*|fi.dent*|MORN.ING*|ag|AIN			2	1	1	
	NEV|er|GLAD|con*|FI*|dent|MORN|ing.ag*|AIN		1		1	1	1
	NEV.ER*|glad*|CON|fi|DENT.MORN*|ing.ag*|AIN				2	2	1
	NEV.ER*|glad*|CON|fi.dent*|MORN|ing|AG.AIN*			2		2	1
	NEV.ER*|glad*|CON|fi.dent*|MORN.ING*|ag|AIN			2		2	1
	NEV|er|GLAD.CON*|fi|DENT.MORN*|ing|AG.AIN*			1	2	2	
	NEV|er|GLAD|con*|FI*|dent|MORN|ing|AG.AIN*		1	1		2	1
	NEV|er|GLAD|con*|FI*|dent|MORN.ING*|ag|AIN		1	1		2	1
	NEV|er|GLAD.CON*|fi.dent*|MORN|ing|AG*|ain*		1	1	1	1	1
	NEV.ER*|glad*|CON|fi|DENT.MORN*|ing|AG.AIN*			1	1	3	1
	NEV.ER*|glad*|CON|fi|DENT*|morn*|ING*|ag|AIN		1			3	2
	NEV.ER*|glad*|CON|fi.dent*|MORN|ing|AG*|ain*		1	1		2	2
	NEV|er|GLAD.CON*|fi|DENT.MORN*|ing|AG*|ain*		1		2	2	1
	NEV|er|GLAD|con*|FI*|dent|MORN|ing|AG*|ain*		2			2	2
Best fight on well, for we taught him strike gallantly,	best*|FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE|gallantly*						2
	BEST.FIGHT*|on|WELL|for.we|TAUGHT|him|STRIKE|gallantly*				1		1
	best*|FIGHT|on|WELL|for.we|TAUGHT|him|STRIKE.GALLANTLY*				1		1
	BEST.FIGHT*|on|WELL|for.we|TAUGHT|him|STRIKE.GALLANTLY*				2		
Menace our heart ere we master his own;	MEN|ace.our*|HEART|ere.we*|MAS|ter.his*|OWN [*Bounded]	2			3		1
	MEN|ace|OUR*|heart*|ERE|we|MAS|ter|HIS*|own					2	1
	MEN|ace|OUR*|heart*|ERE|we|MAS.TER*|his|OWN					2	1
	MEN|ace|OUR*|heart*|ERE|we|MAS.TER*|his.own					2	1
	MEN|ace|OUR*|heart*|ERE|we|MAS|ter.his*|OWN				1	1	1
	MEN.ACE*|our|HEART.ERE*|we|MAS|ter|HIS*|own				1	2	
	MEN.ACE*|our|HEART.ERE*|we|MAS.TER*|his|OWN				1	2	
	MEN.ACE*|our|HEART.ERE*|we|MAS.TER*|his.own				1	2	
	MEN|ace.our*|HEART.ERE*|we|MAS|ter|HIS*|own				2	1	
	MEN|ace.our*|HEART.ERE*|we|MAS.TER*|his|OWN				2	1	
	MEN.ACE*|our|HEART.ERE*|we|MAS|ter.his*|OWN				2	1	
	MEN|ace.our*|HEART.ERE*|we|MAS.TER*|his.own				2	1	
	MEN|ace.our*|HEART.ERE*|we|MAS|ter.his*|OWN				3		
Then let him receive the new knowledge and wait us,	then|LET|him.re*|CEIVE|the|NEW.KNOWL*|edge.and*|WAIT|us				3		
	THEN|let*|HIM*|re|CEIVE|the|NEW.KNOWL*|edge.and*|WAIT|us				2	1	1
	then|LET|him.re*|CEIVE|the.new*|KNOWL.EDGE*|and|WAIT|us				2	1	1
	then|LET|him|RE.CEIVE*|the|NEW.KNOWL*|edge.and*|WAIT|us			1	2	1	
	then|LET|him.re*|CEIVE|the|NEW|knowl*|EDGE*|and|WAIT|us		1		1	1	1
	THEN|let*|HIM*|re|CEIVE|the.new*|KNOWL.EDGE*|and|WAIT|us				1	2	2
	then|LET|him|RE.CEIVE*|the.new*|KNOWL.EDGE*|and|WAIT|us			1	1	2	1
	THEN|let*|HIM*|re|CEIVE|the|NEW|knowl*|EDGE*|and|WAIT|us		1			2	2
	then|LET|him|RE.CEIVE*|the|NEW|knowl*|EDGE*|and|WAIT|us		1	1		2	1
Pardoned in heaven, the first by the throne!	PAR|doned.in*|HEAV|en.the*|FIRST|by.the|THRONE [*Bounded]	2			2		
	PAR|doned.in*|HEAVEN|the|FIRST|by.the|THRONE				1		
	PAR|doned|IN.HEAVEN*|the|FIRST|by.the|THRONE				1		
	PAR.DONED*|in|HEAVEN|the|FIRST|by.the|THRONE			1		1	
	par*|DONED*|in|HEAVEN|the|FIRST|by.the|THRONE		1			1	1
	PAR|doned|IN|heav*|EN*|the|FIRST|by.the|THRONE		1			1	1
	PAR|doned|IN|heaven*|THE*|first*|BY*|the|THRONE					2	2
This is the forest primeval. The murmuring pines and the hemlocks,	this|IS|the|FOR|est.pri*|MEV|al.the*|MUR|muring|PINES|and.the|HEMLOCKS				2		
	this|IS|the|FOR|est|PRI.MEV*|al.the*|MUR|muring|PINES|and.the|HEMLOCKS			1	1	1	
	this|IS|the|FOR|est.pri*|MEV.AL*|the|MUR|muring|PINES|and.the|HEMLOCKS			1	1	1	
	this|IS|the|FOR.EST*|pri|MEV|al.the*|MUR|muring|PINES|and.the|HEMLOCKS			1	1	1	
	this|IS|the|FOR.EST*|pri|MEV.AL*|the|MUR|muring|PINES|and.the|HEMLOCKS			2		2	
	this|IS|the|FOR|est|PRI*|mev*|AL*|the|MUR|muring|PINES|and.the|HEMLOCKS		1			2	1
Bearded with moss, and in garments green, indistinct in the twilight,	BEARD|ed.with*|MOSS|and.in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI|light*	2		1	1		1
	BEARD|ed.with*|MOSS|and.in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI.LIGHT*			2	1		
	BEARD|ed.with*|MOSS|and.in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI|light*				2	1	1
	BEARD.ED*|with|MOSS|and.in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI|light*			2		1	1
	BEARD|ed.with*|MOSS|and.in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI.LIGHT*			1	2	1	
	BEARD.ED*|with|MOSS|and.in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI.LIGHT*			3		1	
	BEARD|ed|WITH*|moss*|AND*|in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI|light*			1		2	2
	BEARD|ed|WITH*|moss*|AND*|in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI.LIGHT*			2		2	1
	BEARD.ED*|with|MOSS|and.in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI|light*			1	1	2	1
	BEARD.ED*|with|MOSS|and.in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI.LIGHT*			2	1	2	
	BEARD|ed.with*|MOSS|and.in|GAR|ments|GREEN|in|DIS*|tinct*|IN|the|TWI|light*		1		1	1	2
	beard*|ED*|with|MOSS|and.in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI|light*		1	1		1	2
	beard*|ED*|with|MOSS|and.in|GAR|ments|GREEN|in.dis*|TINCT|in.the|TWI.LIGHT*		1	2		1	1
	BEARD|ed|WITH*|moss*|AND*|in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI|light*				1	3	2
	BEARD|ed|WITH*|moss*|AND*|in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI.LIGHT*			1	1	3	1
	beard*|ED*|with|MOSS|and.in|GAR|ments|GREEN.IN*|dis|TINCT|in.the|TWI.LIGHT*		1	1	1	2	1
	BEARD|ed|WITH*|moss*|AND*|in|GAR|ments|GREEN|in|DIS*|tinct*|IN|the|TWI|light*		1			3	3
	BEARD.ED*|with|MOSS|and.in|GAR|ments|GREEN|in|DIS*|tinct*|IN*|the|TWI|light*		1	1		3	2
	beard*|ED*|with|MOSS|and.in|GAR|ments|GREEN|in|DIS*|tinct*|IN|the|TWI|light*		2			2	3
Stand like Druids of eld, with voices sad and prophetic,	STAND|like|DRU|ids.of*|ELD|with|VOIC|es|SAD|and.pr*|OP|hetic	2			2		
	STAND|like|DRU|ids.of*|ELD|with|VOIC|es|SAD|and|PR.OP*|hetic			1	1	1	
	STAND|like|DRU.IDS*|of|ELD|with|VOIC|es|SAD|and.pr*|OP|hetic			1	1	1	
	STAND|like|DRU.IDS*|of|ELD|with|VOIC|es|SAD|and|PR.OP*|hetic			2		2	
	STAND|like|DRU|ids.of*|ELD|with|VOIC|es|SAD|and|PR*|op.hetic*		1		1	1	1
	STAND|like|DRU.IDS*|of|ELD|with|VOIC|es|SAD|and|PR*|op.hetic*		1	1		2	1
	stand*|LIKE|dru*|IDS*|of|ELD|with|VOIC|es|SAD|and|PR*|op.hetic*		2			2	3
	STAND|like|DRU|ids|OF*|eld*|WITH*|voic*|ES*|sad*|AND*|pr|OP|hetic		1			4	3
Stand like harpers hoar, with beards that rest on their bosoms.	STAND|like|HAR|pers|HOAR|with|BEARDS|that|REST|on.their|BO|soms	2					
Loud from its rocky caverns, the deep-voiced neighboring ocean	LOUD|from.its|RO|cky|CAV.ERNS*|the|DEEP|voiced*|NEI|ghboring|OC|ean					1	1
	LOUD|from.its|RO|cky|CAV|erns.the*|DEEP|voiced*|NEI|ghboring|OC|ean				1		1
Speaks, and in accents disconsolate answers the wail of the forest.	SPEAKS|and.in|AC|cents.dis*|CON|so.late*|AN|swers.the*|WAIL|of.the|FOR|est	2		1	2		
	SPEAKS|and.in|AC|cents|DIS.CON*|so.late*|AN|swers.the*|WAIL|of.the|FOR|est			2	1	1	
	SPEAKS|and.in|AC|cents.dis*|CON|so|LATE.AN*|swers.the*|WAIL|of.the|FOR|est				3	1	
	SPEAKS|and.in|AC|cents.dis*|CON|so.late*|AN.SWERS*|the|WAIL|of.the|FOR|est			2	1	1	
	SPEAKS|and.in|AC.CENTS*|dis|CON|so.late*|AN|swers.the*|WAIL|of.the|FOR|est			2	1	1	
	SPEAKS|and.in|AC|cents.dis*|CON|so.late*|AN|swers|THE*|wail*|OF*|the|FOR|est			1	1	2	1
	SPEAKS|and.in|AC|cents|DIS.CON*|so|LATE.AN*|swers.the*|WAIL|of.the|FOR|est			1	2	2	
	SPEAKS|and.in|AC|cents|DIS.CON*|so.late*|AN.SWERS*|the|WAIL|of.the|FOR|est			3		2	
	SPEAKS|and.in|AC.CENTS*|dis|CON|so|LATE.AN*|swers.the*|WAIL|of.the|FOR|est			1	2	2	
	SPEAKS|and.in|AC.CENTS*|dis|CON|so.late*|AN.SWERS*|the|WAIL|of.the|FOR|est			3		2	
	SPEAKS|and.in|AC|cents|DIS*|con*|SO*|late|AN|swers.the*|WAIL|of.the|FOR|est		1		1	2	1
	SPEAKS|and.in|AC|cents.dis*|CON|so|LATE*|an*|SWERS*|the|WAIL|of.the|FOR|est		1		1	2	1
	SPEAKS|and|IN|ac*|CENTS*|dis|CON|so.late*|AN|swers.the*|WAIL|of.the|FOR|est		1	1	1	1	1
	SPEAKS|and.in|AC|cents|DIS.CON*|so.late*|AN|swers|THE*|wail*|OF*|the|FOR|est			2		3	1
	SPEAKS|and.in|AC|cents.dis*|CON|so|LATE.AN*|swers|THE*|wail*|OF*|the|FOR|est				2	3	1
	SPEAKS|and.in|AC.CENTS*|dis|CON|so.late*|AN|swers|THE*|wail*|OF*|the|FOR|est			2		3	1
	SPEAKS|and.in|AC|cents|DIS*|con*|SO*|late|AN.SWERS*|the|WAIL|of.the|FOR|est		1	1		3	1
	SPEAKS|and.in|AC|cents|DIS.CON*|so|LATE*|an*|SWERS*|the|WAIL|of.the|FOR|est		1	1		3	1
	SPEAKS|and.in|AC.CENTS*|dis|CON|so|LATE*|an*|SWERS*|the|WAIL|of.the|FOR|est		1	1		3	1
	SPEAKS|and|IN|ac*|CENTS*|dis|CON|so.late*|AN.SWERS*|the|WAIL|of.the|FOR|est		1	2		2	1
	SPEAKS|and.in|AC|cents|DIS.CON*|so|LATE.AN*|swers|THE*|wail*|OF*|the|FOR|est			1	1	4	1
	SPEAKS|and.in|AC.CENTS*|dis|CON|so|LATE.AN*|swers|THE*|wail*|OF*|the|FOR|est			1	1	4	1
	SPEAKS|and.in|AC|cents|DIS*|con*|SO*|late|AN|swers|THE*|wail*|OF*|the|FOR|est		1			4	2
	SPEAKS|and|IN|ac*|CENTS*|dis|CON|so|LATE*|an*|SWERS*|the|WAIL|of.the|FOR|est		2			3	2
This is the forest primeval; but where are the hearts that beneath it	this|IS|the|FOR|est.pri*|MEV|al.but*|WHERE|are.the|HEARTS.THAT*|be|NEATH|it				3		
	this|IS|the|FOR|est.pri*|MEV|al.but*|WHERE|are.the|HEARTS|that.be*|NEATH|it				3		
	this|IS|the|FOR|est.pri*|MEV|al|BUT*|where.are|THE*|hearts*|THAT|be|NEATH|it				1	2	1
	this|IS|the|FOR|est.pri*|MEV|al.but*|WHERE|are|THE*|hearts*|THAT|be|NEATH|it				2	1	1
	this|IS|the|FOR|est.pri*|MEV|al|BUT*|where|ARE*|the|HEARTS.THAT*|be|NEATH|it				2	2	
	this|IS|the|FOR|est.pri*|MEV|al|BUT*|where|ARE*|the|HEARTS|that.be*|NEATH|it				2	2	
	this|IS|the|FOR|est|PRI.MEV*|al.but*|WHERE|are.the|HEARTS.THAT*|be|NEATH|it			1	2	1	
	this|IS|the|FOR|est.pri*|MEV.AL*|but|WHERE|are.the|HEARTS.THAT*|be|NEATH|it			1	2	1	
	this|IS|the|FOR.EST*|pri|MEV|al.but*|WHERE|are.the|HEARTS.THAT*|be|NEATH|it			1	2	1	
	this|IS|the|FOR|est|PRI.MEV*|al.but*|WHERE|are.the|HEARTS|that.be*|NEATH|it			1	2	1	
	this|IS|the|FOR|est.pri*|MEV|al.but*|WHERE|are.the|HEARTS|that|BE.NEATH*|it			1	2	1	
	this|IS|the|FOR|est.pri*|MEV.AL*|but|WHERE|are.the|HEARTS|that.be*|NEATH|it			1	2	1	
	this|IS|the|FOR.EST*|pri|MEV|al.but*|WHERE|are.the|HEARTS|that.be*|NEATH|it			1	2	1	
	this|IS|the|FOR|est|PRI.MEV*|al|BUT*|where.are|THE*|hearts*|THAT|be|NEATH|it			1		3	1
	this|IS|the|FOR.EST*|pri|MEV|al|BUT*|where.are|THE*|hearts*|THAT|be|NEATH|it			1		3	1
	this|IS|the|FOR|est|PRI.MEV*|al|BUT*|where|ARE*|the|HEARTS.THAT*|be|NEATH|it			1	1	3	
	this|IS|the|FOR.EST*|pri|MEV|al|BUT*|where|ARE*|the|HEARTS.THAT*|be|NEATH|it			1	1	3	
	this|IS|the|FOR|est|PRI.MEV*|al|BUT*|where|ARE*|the|HEARTS|that.be*|NEATH|it			1	1	3	
	this|IS|the|FOR|est.pri*|MEV|al|BUT*|where|ARE*|the|HEARTS|that|BE.NEATH*|it			1	1	3	
	this|IS|the|FOR.EST*|pri|MEV|al|BUT*|where|ARE*|the|HEARTS|that.be*|NEATH|it			1	1	3	
	this|IS|the|FOR.EST*|pri|MEV.AL*|but|WHERE|are.the|HEARTS.THAT*|be|NEATH|it			2	1	2	
	this|IS|the|FOR|est|PRI.MEV*|al.but*|WHERE|are.the|HEARTS|that|BE.NEATH*|it			2	1	2	
	this|IS|the|FOR|est.pri*|MEV.AL*|but|WHERE|are.the|HEARTS|that|BE.NEATH*|it			2	1	2	
	this|IS|the|FOR.EST*|pri|MEV|al.but*|WHERE|are.the|HEARTS|that|BE.NEATH*|it			2	1	2	
	this|IS|the|FOR.EST*|pri|MEV.AL*|but|WHERE|are.the|HEARTS|that.be*|NEATH|it			2	1	2	
	this|IS|the|FOR|est|PRI.MEV*|al|BUT*|where|ARE*|the|HEARTS|that|BE.NEATH*|it			2		4	
	this|IS|the|FOR.EST*|pri|MEV|al|BUT*|where|ARE*|the|HEARTS|that|BE.NEATH*|it			2		4	
	this|IS|the|FOR|est|PRI*|mev*|AL*|but|WHERE|are|THE*|hearts*|THAT|be|NEATH|it		1			3	2
	this|IS|the|FOR.EST*|pri|MEV.AL*|but|WHERE|are.the|HEARTS|that|BE.NEATH*|it			3		3	
Leaped like the roe, when he hears in the woodland the voice of the huntsman?	LEAPED|like.the|ROE|when.he|HEARS|in.the|WOOD|land.the*|VOICE|of.the|HUNTS|man	2			1		
	LEAPED|like.the|ROE|when.he|HEARS|in.the|WOOD.LAND*|the|VOICE|of.the|HUNTS|man			1			
	LEAPED|like.the|ROE|when.he|HEARS|in.the|WOOD|land|THE*|voice*|OF*|the|HUNTS|man					2	1
	LEAPED|like.the|ROE|when.he|HEARS|in|THE*|wood*|LAND|the|VOICE|of.the|HUNTS|man		1			1	1
Where is the thatch-roofed village, the home of Acadian farmers,	where|IS|the|THATCH|roofed*|VIL.LAGE*|the|HOME|of|ACADIAN.FARM*|ers				1	1	1
	WHERE|is.the|THATCH|roofed*|VIL.LAGE*|the|HOME|of|ACADIAN.FARM*|ers				1	1	1
	where|IS|the|THATCH|roofed*|VIL|lage.the*|HOME|of|ACADIAN.FARM*|ers				2		1
	WHERE|is.the|THATCH|roofed*|VIL|lage.the*|HOME|of|ACADIAN.FARM*|ers				2		1
	where|IS|the|THATCH|roofed*|VIL|lage|THE*|home*|OF*|acadian*|FARM|ers					2	3
	WHERE|is.the|THATCH|roofed*|VIL|lage|THE*|home*|OF*|acadian*|FARM|ers					2	3
	where|IS|the|THATCH|roofed*|VIL.LAGE*|the|HOME|of|ACADIAN|farm*|ERS*		1			2	2
	WHERE|is.the|THATCH|roofed*|VIL.LAGE*|the|HOME|of|ACADIAN|farm*|ERS*		1			2	2
	where|IS|the|THATCH|roofed*|VIL.LAGE*|the|HOME|of|ACADIAN|farm.ers*		1	1		1	2
	WHERE|is.the|THATCH|roofed*|VIL.LAGE*|the|HOME|of|ACADIAN|farm.ers*		1	1		1	2
	where|IS|the|THATCH|roofed*|VIL|lage.the*|HOME|of|ACADIAN|farm.ers*		1	1	1		2
	WHERE|is.the|THATCH|roofed*|VIL|lage.the*|HOME|of|ACADIAN|farm.ers*		1	1	1		2
Men whose lives glided on like rivers that water the woodlands,	MEN|whose|LIVES.GLID*|ed|ON*|like|RIV.ERS*|that|WA|ter.the*|WOOD|lands				2	2	
	MEN|whose|LIVES.GLID*|ed|ON*|like|RIV|ers|THAT.WA*|ter.the*|WOOD|lands				3	1	
	MEN|whose|LIVES.GLID*|ed|ON*|like|RIV|ers.that*|WA|ter.the*|WOOD|lands				3	1	
	men*|WHOSE|lives*|GLID|ed|ON*|like|RIV.ERS*|that|WA|ter.the*|WOOD|lands				1	2	2
	men*|WHOSE|lives*|GLID|ed|ON*|like|RIV|ers|THAT.WA*|ter.the*|WOOD|lands				2	1	2
	men*|WHOSE|lives*|GLID|ed|ON*|like|RIV|ers.that*|WA|ter.the*|WOOD|lands				2	1	2
	MEN|whose|LIVES.GLID*|ed|ON*|like|RIV.ERS*|that|WA.TER*|the|WOOD|lands			1	1	3	
	MEN|whose|LIVES.GLID*|ed|ON*|like|RIV|ers.that*|WA.TER*|the|WOOD|lands			1	2	2	
	MEN|whose|LIVES.GLID*|ed|ON*|like|RIV|ers|THAT|wa*|TER*|the|WOOD|lands		1		1	2	1
	MEN|whose|LIVES|glid*|ED*|on.like|RIV.ERS*|that|WA|ter.the*|WOOD|lands		1		1	2	1
	MEN|whose|LIVES|glid*|ED*|on.like|RIV|ers|THAT.WA*|ter.the*|WOOD|lands		1		2	1	1
	MEN|whose|LIVES|glid*|ED*|on.like|RIV|ers.that*|WA|ter.the*|WOOD|lands		1		2	1	1
	MEN|whose|LIVES.GLID*|ed.on*|LIKE.RIV*|ers|THAT.WA*|ter.the*|WOOD|lands				5		
	MEN|whose|LIVES.GLID*|ed.on*|LIKE.RIV*|ers.that*|WA|ter.the*|WOOD|lands				5		
	men*|WHOSE|lives*|GLID|ed|ON*|like|RIV.ERS*|that|WA.TER*|the|WOOD|lands			1		3	2
	men*|WHOSE|lives*|GLID|ed|ON*|like|RIV|ers.that*|WA.TER*|the|WOOD|lands			1	1	2	2
	men*|WHOSE|lives*|GLID|ed|ON*|like|RIV|ers|THAT|wa*|TER*|the|WOOD|lands		1			2	3
	MEN|whose|LIVES|glid*|ED*|on.like|RIV.ERS*|that|WA.TER*|the|WOOD|lands		1	1		3	1
	men*|WHOSE|lives*|GLID|ed.on*|LIKE.RIV*|ers|THAT.WA*|ter.the*|WOOD|lands				4		2
	men*|WHOSE|lives*|GLID|ed.on*|LIKE.RIV*|ers.that*|WA|ter.the*|WOOD|lands				4		2
	MEN|whose|LIVES|glid*|ED*|on.like|RIV|ers|THAT|wa*|TER*|the|WOOD|lands		2			2	2
	MEN|whose|LIVES.GLID*|ed.on*|LIKE|riv.ers*|THAT.WA*|ter.the*|WOOD|lands		1		4		1
	men*|WHOSE|lives*|GLID|ed.on*|LIKE|riv.ers*|THAT.WA*|ter.the*|WOOD|lands		1		3		3
	men*|WHOSE|lives*|GLID|ed.on*|LIKE|riv.ers*|THAT|wa*|TER*|the|WOOD|lands		2		1	1	4
Darkened by shadows of earth, but reflecting an image of heaven?	DARK|ened.by*|SHAD.OWS|of|EARTH|but.re*|FLECT|ing.an*|IM.AGE*|of|HEAV|en				3	1	
	DARK|ened.by*|SHAD.OWS|of|EARTH|but.re*|FLECT|ing.an*|IM.AGE*|of|HEAVEN				3	1	
	DARK|ened.by*|SHAD.OWS|of|EARTH|but.re*|FLECT|ing.an*|IM|age.of*|HEAV|en				4		
	DARK|ened.by*|SHAD.OWS|of|EARTH|but.re*|FLECT|ing.an*|IM|age.of*|HEAVEN				4		
	DARK|ened.by*|SHAD.OWS|of|EARTH|but|RE.FLECT*|ing.an*|IM.AGE*|of|HEAV|en			1	2	2	
	DARK|ened.by*|SHAD.OWS|of|EARTH|but.re*|FLECT.ING*|an|IM.AGE*|of|HEAV|en			1	2	2	
	DARK.ENED*|by|SHAD.OWS|of|EARTH|but.re*|FLECT|ing.an*|IM.AGE*|of|HEAV|en			1	2	2	
	DARK|ened.by*|SHAD.OWS|of|EARTH|but|RE.FLECT*|ing.an*|IM.AGE*|of|HEAVEN			1	2	2	
	DARK|ened.by*|SHAD.OWS|of|EARTH|but.re*|FLECT.ING*|an|IM.AGE*|of|HEAVEN			1	2	2	
	DARK.ENED*|by|SHAD.OWS|of|EARTH|but.re*|FLECT|ing.an*|IM.AGE*|of|HEAVEN			1	2	2	
	DARK.ENED*|by|SHAD.OWS|of|EARTH|but|RE.FLECT*|ing.an*|IM.AGE*|of|HEAV|en			2	1	3	
	DARK.ENED*|by|SHAD.OWS|of|EARTH|but.re*|FLECT.ING*|an|IM.AGE*|of|HEAV|en			2	1	3	
